amfi_code,max_drawdown,max_drawdown_pct
120507,-0.0009773140045925555,-0.09773140045925555
120844,-0.0011629327956168556,-0.11629327956168556
101208,-0.0016224980244717857,-0.16224980244717857
100025,-0.04308263824636349,-4.308263824636349
119120,-0.04328728923970093,-4.328728923970093
118636,-0.08316361763638702,-8.316361763638703
102885,-0.1085986215250232,-10.85986215250232
148567,-0.11265729075028275,-11.265729075028275
101206,-0.11291596329323073,-11.291596329323072
118635,-0.1165062450540909,-11.650624505409091
119552,-0.11803493502764295,-11.803493502764296
120504,-0.12588275606922517,-12.588275606922517
120843,-0.1297396816518679,-12.97396816518679
120503,-0.13897862823061635,-13.897862823061635
119092,-0.1440161790933726,-14.401617909337261
149322,-0.14844576917771746,-14.844576917771747
119551,-0.1501238549864533,-15.012385498645331
125497,-0.15200013055606398,-15.200013055606398
148568,-0.1527259422823477,-15.27259422823477
100033,-0.16217208574644848,-16.217208574644847
148569,-0.1639674294693263,-16.39674294693263
149323,-0.17248105753451382,-17.24810575345138
118632,-0.17414075086657232,-17.41407508665723
120841,-0.1757361416468729,-17.57361416468729
120505,-0.18188513572116294,-18.188513572116292
118633,-0.18629743138595511,-18.62974313859551
120506,-0.1982565826298267,-19.82565826298267
119094,-0.20960883862039192,-20.960883862039193
125498,-0.21117279560132118,-21.11727956013212
102887,-0.21539827112383225,-21.539827112383225
119093,-0.21751396370148224,-21.751396370148225
118634,-0.2334488614483311,-23.34488614483311
120842,-0.24003511326274884,-24.003511326274886
100016,-0.24734440880673303,-24.734440880673304
102886,-0.2800112356639287,-28.00112356639287
119598,-0.2870600572176455,-28.706005721764548
149324,-0.31171900300634214,-31.171900300634213
101207,-0.3544691649336603,-35.44691649336603
119095,-0.5167775370852656,-51.677753708526566
119599,-0.5257422117012851,-52.57422117012851
